"","NMF_1","NMF_2","NMF_3","NMF_4","NMF_5","NMF_6","NMF_7","NMF_8","NMF_9","NMF_10","NMF_11","NMF_12","NMF_13","NMF_14","NMF_15","NMF_16","NMF_17","NMF_18","NMF_19","NMF_20","NMF_21","NMF_22","NMF_23","NMF_24","NMF_25","NMF_26","NMF_27","NMF_28","NMF_29","NMF_30","NMF_31","NMF_32","NMF_33","NMF_34","NMF_35","NMF_36","NMF_37","NMF_38","NMF_39","NMF_40","NMF_41","NMF_42","NMF_43","NMF_44","NMF_45","NMF_46","NMF_47","NMF_48","NMF_49","NMF_50","NMF_51","NMF_52","NMF_53","NMF_54","NMF_55","NMF_56","NMF_57","NMF_58","NMF_59","NMF_60","NMF_61","NMF_62","NMF_63","NMF_64","NMF_65","NMF_66","NMF_67","NMF_68","NMF_69","NMF_70","NMF_71","NMF_72","NMF_73","NMF_74","NMF_75","NMF_76","NMF_77","NMF_78","NMF_79","NMF_80","NMF_81","NMF_82","NMF_83","NMF_84","NMF_85","NMF_86","NMF_87","NMF_88","NMF_89","NMF_90","NMF_91","NMF_92","NMF_93","NMF_94","NMF_95","NMF_96","NMF_97","NMF_98","NMF_99","NMF_100"
"1","EIF4G3","USP9Y","GRIN1","RBFOX3","PDE5A","NPTX1","UPP2","LRRTM3","TRPM3","ELAVL3","SORCS3","HS6ST3","PDZD2","CLSTN2","STXBP5L","NRG1","PCDH15","SLIT2","KCNIP4","TSHZ2","ANO4","PDZRN4","EPHA6","LRP1B","BDP1","COL25A1","TRPM3","CDH13","HTR2C","ADARB2","SORCS1","HOMER1","GPC6","LRP1B","CNTN5","CDH20","PDZD2","ZNF385B","CDH13","COL25A1","DPP10","PDE10A","DPP10","HS6ST3","TENM3","TRPM3","SLC24A3","ROBO2","TRPM3","ADAMTSL1","RBM25","NKAIN2","SHISA9","ROBO2","CDH12","TMEM132C","LSAMP","MAP1B","IL1RAPL2","GALNTL6","ADAMTSL1","NRG1","RPL26","COL25A1","NRXN3","LRP1B","UNC5D","ASIC2","ADGRL2","DCC","STXBP5L","ZBTB20","PDE4D","ADGRB3","NRXN3","PTPRD","ASTN1","CDK14","PTPRR","NBEA","CNKSR2","PRKG1","AGBL1","LRRC4C","DOK6","CSMD3","GABRB1","STMN2","OTUD7A","GPC5","DPP10","APP","ERBB4","CARTPT","MAP1B","AKAP9","WWOX","SYT1","SYT1","KIDINS220"
"2","ZCCHC7","WWOX","ACAP3","PLXNA4","CTNNA3","TSPYL1","AEBP2","HDAC9","TSHZ2","RAD9A","MAML3","EPHA5","KCNQ3","SYNPR","AHI1","PDE4B","KCNH1","SEMA5A","NRXN3","TRPM3","RGS6","NKAIN3","CNTN5","ZNF385B","CCDC88A","PTPRG","CDH20","SGCZ","MGAT4C","RGS6","HS6ST3","NTRK2","GALNTL6","NRXN3","UNC5D","CDH12","TRPM3","PDZRN4","ADARB2","NKAIN3","HS6ST3","PRKG1","ROBO2","ROBO2","CDH18","HS6ST3","SORCS3","TMEM132D","CDH13","NELL1","LUC7L3","NKAIN3","SYN3","DPP10","PDZD2","TENM2","PTPRT","CHN1","PRKG1","LSAMP","PTPRG","SPHKAP","TPT1","MEIS2","NRG1","CTNNA2","EPHA6","TANC2","DPYD","MYO16","TMEM108","RORA","PPP2R2B","PTPRK","AKAP6","LINGO2","TNR","HECW1","NAV3","MTUS2","DMD","ATRNL1","GALNTL6","TENM4","WDR7","RALYL","UNC5C","NEFM","TJP1","TENM4","KAZN","HSP90AA1","SNTG1","SCG2","NSF","LSAMP","FTH1","ERBB4","GPM6A","SNRPN"
"3","TRIP12","FRAS1","KIAA0930","TNR","UBE3A","PRNP","WWOX","PTPRR","NKAIN2","CERS4","NRXN3","RGS6","PHACTR1","SNTG1","GRIN1","FRAS1","UPP2","UNC5D","RBFOX1","NKAIN3","LUZP2","SGCZ","CNTNAP2","LSAMP","LUC7L3","ADGRL2","CNTNAP2","SPHKAP","NTNG1","PTPRT","CDH18","PDE10A","NKAIN3","PCDH9","PTPRT","EPHA6","GPC6","HTR2C","CHRM3","ROBO1","ROBO2","KHDRBS2","OPCML","UNC5D","PARD3","SGCZ","ANO4","NFIB","TSHZ2","NKAIN3","CHD5","GABRG3","CACNG3","CDH13","CCSER1","LUZP2","LRP1B","PLPPR4","EPHA6","NKAIN2","CPNE4","CDH13","RPS8","GPC6","PTPRD","MBD5","NKAIN2","CA10","ST6GALNAC5","TENM4","EPHA6","FSTL5","HCN1","RIMS1","LRFN5","MLLT3","RABGAP1L","DGKB","SYT1","ATP8A2","IL1RAPL1","NEBL","NRXN3","CNTN5","DYM","OXR1","ADGRL3","NEFL","NTRK3","SORBS2","SYT1","RTN4","LSAMP","MAP1B","ATP8A1","PGM2L1","ATP1B1","SLC6A1","CHD2","PID1"
"4","SOS1","IGSF11","UCHL1","CACNA1C","RAB11A","NPTXR","GDAP1","MLIP","CNTN5","CLIP2","LDB2","TMEM132D","ASIC2","RALYL","KCNIP4","ROBO1","SGCD","EPHA6","CSMD1","PARD3","PDE4B","COL25A1","SGCD","ROBO2","GOLGA4","TG","CNTN5","LRRTM3","PDZRN4","ZNF536","NFIB","SIDT1","NKAIN2","GALNT13","DAB1","LSAMP","NTM","LRP1B","CNTN5","SEMA5A","GRM8","SEZ6L","NRXN3","DAB1","LRP1B","NRXN3","BDNF","SOX5","SGCZ","CDH18","BDP1","CHRM3","RBFOX1","EFNA5","CLSTN2","PDZRN3","NKAIN2","NPTXR","NTM","HS6ST3","LSAMP","CDH18","RPS23","NTM","ROBO1","NRXN1","GALNTL6","BCAS3","AK5","LSAMP","CADM2","GALNT13","CTNND2","PHACTR1","MDGA2","NTRK2","RYR2","DOCK4","TAFA2","ENOX1","DIAPH2","JMJD1C","KCNIP4","OPCML","DTNA","XKR4","GRID2","GAPDH","RORA","NLGN1","GRIA1","SERINC1","NKAIN2","SYT1","ATP1B1","SYT1","KIF21A","CCK","NRXN3","MAP4"
"5","ADK","CDH13","CAMKK1","KCND3","BEX1","PHYHIP","TRMT11","THRB","NRG1","RAP1GAP2","IGSF9B","FRAS1","SMAD3","EDIL3","EPHA6","GRID2","PDE1A","COL25A1","NRG3","NKAIN2","CREB5","SEMA5A","PTPRD","LHFPL6","GOLGB1","TMEM117","RGS6","TAFA1","PTPRG","PDZD2","NRG1","SIK2","TENM2","LINGO2","NKAIN2","GPC6","TMEM132D","SOX5","DAB1","LSAMP","OPCML","KLF12","SGCZ","CNTN5","ZFHX3","CHRM3","TET3","NDST3","RFX3","NRXN3","GOLGB1","SORCS1","GRIN2A","OPCML","CDH2","ROBO2","POU6F2","ATP2B1","RIT2","ALCAM","MYRIP","PID1","FTH1","ST6GAL2","CNTNAP5","PDE1A","SGCD","RPTOR","DAB1","CA10","CLSTN2","RALYL","CAMK4","NKAIN2","NPAS3","SH3GL2","COP1","RAPGEF5","NELL2","FRY","CASK","CACNB2","KCNQ5","FAT3","CDH2","MMP16","CCSER1","MAP1B","SLCO3A1","GRIA4","NCAM2","HNRNPA2B1","RBFOX1","HSP90AA1","SYT1","SPOCK1","RFLNA","ATP1B1","PSAP","SMARCA2"
"6","PHC3","RORA","KCNH3","ABLIM2","PLCG2","THY1","TMEM232","PAM","SGCZ","ZER1","RGS6","TAFA1","SEZ6L","GRM1","CSMD1","TRPM3","LRP1B","FRMD5","PCDH9","NRXN3","ATP8A2","LUZP2","CNTNAP5","OPCML","STXBP5L","ROBO1","NKAIN2","ADD2","CNTNAP5","TAFA2","CHRM3","SPRED2","LRP1B","RCAN2","TRPS1","PTPRT","SGCD","GALNTL6","RGS6","OPCML","NKAIN2","KCNQ3","NKAIN2","NKAIN2","GULP1","TMEM132D","LRRFIP1","DAB1","SPHKAP","DOCK10","ANKRD11","LSAMP","LARGE1","LRP1B","UBE2E3","KCTD8","NRG1","HSP90AA1","ROBO2","LUZP2","DLC1","ROBO1","RPL6","CCBE1","CNTN5","AFF3","NTNG1","CEP112","NEGR1","UNC5C","ROBO2","KCNIP4","FBXL17","SYNE1","GPHN","GNAQ","SMYD3","DYNC1I1","AEBP2","DCLK1","NLGN4X","FRMD4A","LRRTM4","GRM5","DLGAP1","ZFPM2","MAPK10","RTN4","GABRB3","NCAM2","TTC3","KCND2","NLGN1","ENC1","DSTN","HMGB1","RIMS2","MAP1B","YWHAE","NTRK2"
"7","LCOR","TAFA1","MPHOSPH8","USP9Y","CCDC65","CAMK2N1","MTERF1","UNC5C","CNTNAP2","SRRM3","CHST11","LINGO2","CAMK1D","GABRB2","TTC3","KCND2","CLSTN2","ZNF704","DLG2","CNTN5","EIF2AK3","DGKB","PDE4B","NKAIN2","PNISR","NTM","LRP1B","UNC5C","ZNF385B","CNTN5","GRIA4","FNDC3A","CNTNAP2","KCNQ5","SOX5","HS6ST3","CHRM3","PLXDC2","HS6ST3","LRP1B","CTNNA2","DTNA","NRG1","NFIB","PCDH15","TAFA1","HS6ST2","DGKG","ROBO1","TSHZ2","KCNIP4","TENM2","ADCY9","PTPRT","CHL1","DAB1","NRXN3","CPE","NAALADL2","NRG1","NKAIN2","CLSTN2","RPL22","GALNT13","CADM2","CNTNAP5","PALLD","TNRC6C","OLFM3","ARL15","LSAMP","RIMS1","KCTD16","KHDRBS2","MIPOL1","GABBR2","RPS6KC1","TMEM178B","ANKS1B","NALCN","NEXMIF","ANK3","SEZ6L","ANO3","FHOD3","VPS13B","INPP4B","MAP9","SV2B","IL1RAPL1","SORBS2","MAP1B","TENM2","IGFBP5","HSP90AA1","NCKAP1","TFDP2","HSP90AA1","GABRB2","GPM6A"
"8","C2CD5","FARS2","KIFC2","IQSEC1","MGST1","YWHAG","FHIT","SHC3","TOX","GPI","KCNIP4","EPHA6","NTRK3","CMSS1","PNISR","CNTNAP5","SYT1","PRR16","PTPRD","TOX","LPP","RBFOX1","PCDH9","KCTD8","CHD5","NKAIN3","KCNMB2","PRKG1","SNTG1","NCALD","NCAM2","CAP2","PRKG1","CSMD1","PTPRD","NELL1","OPCML","SORCS1","NELL1","KCTD8","SNTG1","ENOX1","LSAMP","NTM","BRINP3","LINGO2","NRXN3","CNTNAP5","NTM","LRP1B","ARGLU1","OTOF","SEZ6L","MGAT4C","TANC2","SNTG1","NEGR1","SNAP25","CLSTN2","CHRM3","PLCB1","PRR16","RPL19","GABRG3","RORA","PRKCE","HTR2C","ACACA","PDE4B","MAN2A1","TAFA1","SYT1","ARHGAP26","PRKN","RALGAPA1","DENND1A","FMN2","EXOC4","CNTN1","HS6ST3","ATRX","CELF2","LARGE1","DLG2","SETBP1","RIMS2","KCNIP4","HSP90AA1","MAP2K5","UNC5C","CNTNAP2","UBE2B","NEGR1","PTN","CSRNP3","FLRT2","GTF2I","GAD2","FGF12","RIPOR2"
"9","ANKRD17","UBE3A","MAST1","PPP2R2C","CRLF3","CREG2","CFAP70","PEX5L","NELL1","ATCAY","PRKCB","PLCB1","RTN4RL1","KCTD16","DOCK3","USP9Y","PTPRR","ZFPM2","DLGAP1","OPCML","ZDHHC14","KCNIP4","GALNT13","TRPM3","ANKRD11","CNTNAP5","PDE4B","MAP3K5","PTPRT","ROBO1","SEMA3D","ARHGEF7","NRXN3","CNTNAP2","CHRM3","SNTG1","RPS6KA2","SGCZ","SEMA3D","TMEM132C","CPNE4","RIMS1","PEX5L","NRXN3","CHRM3","NCALD","PDE10A","PARD3","CDH18","LDB2","TTC3","MOXD1","MRTFB","NKAIN2","TAFA2","PLXDC2","RALYL","CAP2","KCNIP4","ROBO2","RGS6","SGCZ","TMSB10","DAB1","PRKD1","SLC8A1","PTPRD","RBFOX3","LRRC7","LRRTM4","ERC2","RBFOX1","SLIT3","KCNQ5","UNC79","BRINP1","KCNH1","CACNA2D1","GRIN2B","FGF14","GPM6B","PCDH15","GRID2","GRIA4","TCF4","FAM135B","GABRA2","ATP1B1","HERC1","ARHGAP6","PPP1R9A","EPB41L3","SGCZ","RTN1","RTN4","ZEB2","CDH18","PRNP","APLP2","TULP4"
"10","EXOC6","KCNQ5","TARBP1","RORA","FILIP1L","ENC1","IMMP2L","ST6GALNAC5","NRXN3","GTF2IRD1","LRRTM4","IL1RAPL1","GRIN2A","ARHGEF28","CCDC88A","SPOCK3","CNTN5","PBX1","ADGRB3","NRG1","TMEM132D","LRP1B","KCNIP4","NKAIN3","RBM25","PTPRK","LSAMP","RAPGEF5","PLCH1","CDH18","NKAIN2","ANKRD33B","PCDH15","MEIS2","LRP1B","OPCML","RCAN2","NPAS3","ROBO2","NTM","KAZN","GPM6B","DLC1","ZNF385B","DGKB","LSAMP","CACNA1A","CADPS2","LSAMP","SORCS1","PCLO","SAMD3","BMERB1","PTPRK","FHIT","SLIT3","UNC5D","RTN3","LUZP2","DPP10","LRP1B","LINGO2","RPL23","LUZP2","PTPRT","TMEFF2","LSAMP","SSH2","HIVEP3","HDAC9","GRM7","GRID2","FER","ARID1B","FUT8","FOCAD","RGS7","DGKI","SLC2A13","PCDH9","SH3KBP1","VTI1A","NCAM2","GALNT18","MAPRE2","KCNQ3","PCDH7","DPYSL2","CHD2","TENM3","OPCML","RTN3","CNTNAP2","ATP1B1","CHN1","RAD21","SUPT3H","YWHAG","GRIN1","PCMT1"
"11","RBM26","UNC79","ACTN1","KCNMA1","DYNLL1","PGRMC1","SLC13A3","ROBO2","LSAMP","CACNA1A","NKAIN3","CNTN5","CACNA1C","RFX3","NBEA","WWOX","HMGB1","ADGRL2","CNTNAP2","GABRG3","DOK5","CNTN5","LRP1B","NTM","PNN","SGCZ","NRXN3","XKR4","TENM2","PTPRD","MOXD1","HIVEP2","LSAMP","PTPRD","NCALD","LRP1B","FAT3","ROBO1","KCNMB2","ADAMTSL1","ROBO1","PTPRD","RPS6KA2","CHRM3","TENM2","RGS6","KCNQ3","CDH4","NKAIN2","NKAIN2","ROBO1","FSTL4","CACNA1A","CBLN2","SAMD3","LRRC4C","KCNIP4","SYT1","LINGO2","FAT3","OPCML","PAM","RPLP2","GRIP1","TAFA2","SLC4A10","CLSTN2","NF1","KAZN","LINGO2","ROBO1","KCND2","JAKMIP2","DST","SYT16","AOPEP","RGL1","AUTS2","CACNA1C","PCCA","HUWE1","NRG3","PHACTR1","NAV2","KIAA1328","SPIDR","ANK2","PAM","SCAPER","SYN3","RBFOX1","PEG3","CSMD1","ESRRG","NEFL","ANKRD12","NDFIP1","GRIN2B","CDH4","SYT16"
"12","KIFAP3","GRIN2B","SNRNP70","TENM4","BEX2","SLC17A7","MKLN1","LRRTM4","OPCML","CRTC1","BDNF","CADPS2","SSBP3","KCND2","DLGAP1","FOXO1","CDH9","GALNT13","LSAMP","CNTNAP2","BACH2","PCDH15","NCAM2","CADPS2","AKAP9","SYN3","ASIC2","HS6ST3","NRXN3","NRXN3","CNTNAP5","PSME4","SGCZ","SEMA3D","NELL1","KCNQ5","GALNTL6","CTNNA2","NRXN3","SYN3","ADGRL2","OXR1","PDE4D","PTPRD","GRID2","DAB1","JARID2","KAZN","PRKG1","SGCZ","PNISR","PLCB1","TBC1D22A","CDH12","ARL15","KCNB2","CADPS2","CAMK2A","TENM4","ROBO1","PCSK2","NPAS3","RPL3","LSAMP","TAFA1","LRRTM4","ROBO2","PRKCA","SGIP1","PHIP","PEX5L","GRIK2","TENM2","GMDS","DAAM1","KDM4C","NMNAT2","JAZF1","ERC1","VWA8","REPS2","LRRTM3","ADGRL3","ARHGAP32","LDLRAD4","SAMD12","LIMCH1","CKB","IGF1R","LRRC4C","NAV3","TRIM44","CNTN5","SCD5","CNNM2","SNAP25","RGS7BP","TCF4","GABBR2","RTN3"
