"gene","cellType.target","mean.target","cellType","mean","ratio","rank_ratio","anno_ratio"
"ADIRF","Human_Endo NOSTRIN",0.845739329961443,"Human_Oligo_3 OPALIN",0.458574504385844,1.84427900346121,1,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.844"
"VIM","Human_Endo NOSTRIN",1.06222913384039,"Human_Astro_1 FGFR3",0.624825734585492,1.70004062740002,2,"Human_Endo NOSTRIN/Human_Astro_1 FGFR3: 1.7"
"RPL8","Human_Endo NOSTRIN",0.836269247568511,"Human_Oligo_3 OPALIN",0.499609060234074,1.67384724203502,3,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.674"
"SERF2","Human_Endo NOSTRIN",0.848181624891429,"Human_Oligo_3 OPALIN",0.520366133361539,1.62997084266845,4,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.63"
"SPARC","Human_Endo NOSTRIN",1.08591231956329,"Human_Oligo_3 OPALIN",0.670138862294278,1.6204288105984,5,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.62"
"PEA15","Human_Endo NOSTRIN",0.976031453773759,"Human_Oligo_3 OPALIN",0.609602694948193,1.60109438797134,6,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.601"
"SRP14","Human_Endo NOSTRIN",0.952981966661653,"Human_Oligo_3 OPALIN",0.604193813680856,1.57727859021912,7,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.577"
"RPS23","Human_Endo NOSTRIN",0.801946505902607,"Human_Oligo_3 OPALIN",0.509306732644598,1.57458453717755,8,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.575"
"EEF1A1","Human_Endo NOSTRIN",1.02647509208818,"Human_Oligo_3 OPALIN",0.667006488132797,1.53892819687807,9,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.539"
"EEF2","Human_Endo NOSTRIN",0.790955902539322,"Human_Oligo_3 OPALIN",0.514575430891673,1.53710390169373,10,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.537"
"MT-ND5","Human_Endo NOSTRIN",0.953423123740168,"Human_Oligo_3 OPALIN",0.624713179664553,1.52617737991716,11,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.526"
"RPSA","Human_Endo NOSTRIN",0.763577894696614,"Human_Oligo_3 OPALIN",0.503520277926863,1.51647893475211,12,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.516"
"EIF1","Human_Endo NOSTRIN",0.976681692222773,"Human_Oligo_3 OPALIN",0.64558864840656,1.51285450051425,13,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.513"
"DHFR","Human_Endo NOSTRIN",0.788537538424542,"Human_Oligo_3 OPALIN",0.523646197037641,1.50585938155464,14,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.506"
"H3F3B","Human_Endo NOSTRIN",1.00757191820076,"Human_Astro_1 FGFR3",0.672159888728247,1.49900631545737,15,"Human_Endo NOSTRIN/Human_Astro_1 FGFR3: 1.499"
"RPL7A","Human_Endo NOSTRIN",0.840525913487812,"Human_Oligo_3 OPALIN",0.564300836778402,1.48949967589341,16,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.489"
"TPT1","Human_Endo NOSTRIN",0.8723087277228,"Human_Oligo_3 OPALIN",0.586583018315136,1.48710191138565,17,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.487"
"UBB","Human_Endo NOSTRIN",0.764159687441072,"Human_Oligo_3 OPALIN",0.518573054090364,1.47358155502602,18,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.474"
"RPS27A","Human_Endo NOSTRIN",0.779246867892843,"Human_Oligo_3 OPALIN",0.529007021444457,1.47303690934972,19,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.473"
"RPS28","Human_Endo NOSTRIN",0.83312212553187,"Human_Oligo_3 OPALIN",0.568544685262233,1.46535909512127,20,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.465"
"B2M","Human_Endo NOSTRIN",0.909496681366476,"Human_Micro CTSS",0.622927146378425,1.46003699895583,21,"Human_Endo NOSTRIN/Human_Micro CTSS: 1.46"
"FAU","Human_Endo NOSTRIN",0.804252533228262,"Human_Oligo_3 OPALIN",0.554252526444057,1.45105794715658,22,"Human_Endo NOSTRIN/Human_Oligo_3 OPALIN: 1.451"
