"gene","logFC","log.p.value","log.FDR","std.logFC","cellType.target","rank_marker","anno_logFC"
"SH3GL2",0.815288522783587,-17176.9797845122,-17170.1146981703,1.44110462904735,"ExN",35," std logFC = 1.441"
"ANKRD34C-AS1",0.69835268960857,-17169.6165718202,-17162.7796563554,1.44073416941291,"ExN",36," std logFC = 1.441"
"ZNF831",0.598944381922202,-16980.9865399046,-16974.1770234139,1.43123147409224,"ExN",37," std logFC = 1.431"
"MICAL2",0.739612258200994,-16858.8894343409,-16852.1065860973,1.42506772538069,"ExN",38," std logFC = 1.425"
"SYT7",0.609813881193633,-16820.9773104205,-16814.2204376633,1.42315175006614,"ExN",39," std logFC = 1.423"
"ANO3",0.788305243477095,-16546.8379019479,-16540.1063469987,1.40926752131386,"ExN",40," std logFC = 1.409"
"MIR137HG",0.818972400430185,-16314.2637564156,-16307.556894079,1.39744606715867,"ExN",41," std logFC = 1.397"
"NELL2",0.833739598682361,-16231.1121339023,-16224.4293691172,1.39320987030583,"ExN",42," std logFC = 1.393"
"FSTL4",0.783784548418978,-16202.4995587237,-16195.8403244361,1.39175098846316,"ExN",43," std logFC = 1.392"
"AL591501",0.60182590175022,-15921.4062340671,-15914.7699892977,1.37738544130998,"ExN",44," std logFC = 1.377"
"GLRA3",0.646138025674375,-15911.6262380894,-15905.0124661758,1.37688451973619,"ExN",45," std logFC = 1.377"
"TMEM178A",0.699390890275926,-15911.5006129736,-15904.9088199668,1.37687808485366,"ExN",46," std logFC = 1.377"
"SNED1",0.75788801199869,-15638.5324673382,-15631.9621805366,1.36286609842674,"ExN",47," std logFC = 1.363"
"SLC26A4",0.558508397567285,-15381.3044094582,-15374.7551760658,1.34960622518377,"ExN",48," std logFC = 1.35"
"AL136985",0.436558202234716,-15352.4618596165,-15345.9332455113,1.34811594745697,"ExN",49," std logFC = 1.348"
"PCSK2",0.783341708466888,-15345.232467093,-15338.7240556952,1.34774229773114,"ExN",50," std logFC = 1.348"
"PRICKLE1",0.711187332415756,-15285.7796771431,-15279.2910683725,1.34466779327932,"ExN",51," std logFC = 1.345"
"GABBR2",0.7746570714723,-15127.28671349,-15120.8175228053,1.33645662461567,"ExN",52," std logFC = 1.336"
"LNX1",0.671120524213134,-14951.0083388637,-14944.5581963739,1.32729798140472,"ExN",53," std logFC = 1.327"
"PTPRB",0.691170998791562,-14813.0629489405,-14806.6314985838,1.32011137367793,"ExN",54," std logFC = 1.32"
"CAMK2A",0.723957668275767,-14686.0221625487,-14679.6090613306,1.31347733654238,"ExN",55," std logFC = 1.313"
"RBFOX3",0.733181856829832,-14574.4845784775,-14568.089495765,1.3076403688389,"ExN",56," std logFC = 1.308"
"KCNJ6",0.690350404722298,-14551.9808942582,-14545.6035111227,1.30646127403595,"ExN",57," std logFC = 1.306"
"ST6GAL2",0.718521285574924,-14514.9374967687,-14508.5775053759,1.30451930324385,"ExN",58," std logFC = 1.305"
"CACNG3",0.680071668695786,-14347.524233059,-14341.1813360996,1.29572618688491,"ExN",59," std logFC = 1.296"
"ARNTL2",0.583527049672586,-14291.0390191198,-14284.7129292787,1.29275317508994,"ExN",60," std logFC = 1.293"
"LINGO2",0.824085737537452,-14263.935500213,-14257.6259396739,1.29132549614354,"ExN",61," std logFC = 1.291"
"CCDC3",0.705004340313477,-14257.495329637,-14251.2020296188,1.29098615194327,"ExN",62," std logFC = 1.291"
"AC005162",0.613513972670658,-14127.9939081431,-14121.7166084662,1.28415361992377,"ExN",63," std logFC = 1.284"
"KCNJ3",0.760166306595229,-13980.5806432572,-13974.3190919372,1.27635519997193,"ExN",64," std logFC = 1.276"
"MEG3",0.676129691851962,-13973.6093211032,-13967.3632739698,1.27598584723835,"ExN",65," std logFC = 1.276"
"GALNT17",0.760120313906389,-13957.1903350176,-13950.9595553563,1.27511574024188,"ExN",66," std logFC = 1.275"
"C11orf80",0.698337862173553,-13838.853751032,-13832.6380092481,1.26883622641105,"ExN",67," std logFC = 1.269"
"FAM153C",0.573118929166715,-13764.1556886909,-13757.9547619928,1.26486471823061,"ExN",68," std logFC = 1.265"
"SNAP25-AS1",0.680250954526886,-13724.3566185762,-13718.1702906775,1.26274625077125,"ExN",69," std logFC = 1.263"
"BICDL1",0.653328030727316,-13714.9736508426,-13708.8017116813,1.2622465543866,"ExN",70," std logFC = 1.262"
"CNTN3",0.780168462510814,-13710.0601924555,-13703.9024379292,1.26198484667016,"ExN",71," std logFC = 1.262"
"CABP1",0.634902668404885,-13701.1631784665,-13695.0194101822,1.26151089430796,"ExN",72," std logFC = 1.262"
"AMPH",0.71858523381616,-13683.5044796379,-13677.3745046757,1.26056994352705,"ExN",73," std logFC = 1.261"
"AC139491",0.559788524935346,-13617.8818922948,-13611.7655229847,1.25707023034372,"ExN",74," std logFC = 1.257"
"PLXNA4",0.724310045475966,-13581.5829335285,-13575.4799872387,1.25513233876324,"ExN",75," std logFC = 1.255"
"ADGRL2",0.771153195564958,-13530.2663829025,-13524.1766818394,1.25239021171135,"ExN",76," std logFC = 1.252"
"LINC00276",0.611923177843199,-13516.3326608435,-13510.2560318621,1.25164514946785,"ExN",77," std logFC = 1.252"
"AC106795",0.529458837900004,-13468.2118304431,-13462.1481048665,1.24907036561437,"ExN",78," std logFC = 1.249"
"MFSD4A",0.511258589702562,-13423.8575487591,-13417.8065622083,1.24669480700707,"ExN",79," std logFC = 1.247"
"BASP1-AS1",0.615863911787118,-13391.2787552383,-13385.2403474697,1.24494850793026,"ExN",80," std logFC = 1.245"
"CBLN2",0.508956876505532,-13311.9517003332,-13305.9257150845,1.24069132211488,"ExN",81," std logFC = 1.241"
"SLC17A6",0.410410902587143,-13214.9267298392,-13208.9130146831,1.23547447673609,"ExN",82," std logFC = 1.235"
"LINC01885",0.437236813623887,-13163.806685989,-13157.8050921935,1.23272142754491,"ExN",83," std logFC = 1.233"
"PGBD5",0.69172115459883,-13161.0403975845,-13155.0507799801,1.23257236247555,"ExN",84," std logFC = 1.233"
"DNAH6",0.67399764203923,-13145.0152705833,-13139.0374874365,1.23170864968113,"ExN",85," std logFC = 1.232"
"PPFIA4",0.585516916585493,-13038.508370956,-13032.5422838489,1.22596044627217,"ExN",86," std logFC = 1.226"
"ACTN1",0.633591573117493,-12947.8924059418,-12941.9378796572,1.22105914595333,"ExN",87," std logFC = 1.221"
"FAM153A",0.546971024962131,-12929.855787237,-12923.9126896482,1.22008237783465,"ExN",88," std logFC = 1.22"
"NPTX1",0.450534925012752,-12828.4049923659,-12822.4731943323,1.21458089249905,"ExN",89," std logFC = 1.215"
"CCBE1",0.628268050321605,-12769.9216352456,-12764.0010105126,1.21140365235793,"ExN",90," std logFC = 1.211"
"ADD2",0.647928272690816,-12699.560184521,-12693.6506096242,1.20757542121747,"ExN",91," std logFC = 1.208"
"AC006504",0.641911042199603,-12679.4555536157,-12673.5569077894,1.2064804172015,"ExN",92," std logFC = 1.206"
"TMEM108",0.753234341652087,-12678.0727799731,-12672.184945063,1.20640508519893,"ExN",93," std logFC = 1.206"
"MIR2052HG",0.619890377636789,-12646.8458535112,-12640.9687138902,1.20470322768465,"ExN",94," std logFC = 1.205"
"HCN1",0.722895048595636,-12545.0227045215,-12539.1561470098,1.19914520945848,"ExN",95," std logFC = 1.199"
"CHSY3",0.732018430697846,-12507.2854959291,-12501.4294097172,1.19708191520527,"ExN",96," std logFC = 1.197"
"SEMA3D",0.583062297826663,-12450.3723291031,-12444.5266056783,1.19396664727068,"ExN",97," std logFC = 1.194"
"AC024901",0.684366666570017,-12445.9190738448,-12440.0836069202,1.19372270890702,"ExN",98," std logFC = 1.194"
"ADCY1",0.641242303875626,-12333.7902381753,-12327.9649236221,1.18757189761258,"ExN",99," std logFC = 1.188"
"INHBA-AS1",0.51629800105649,-12287.8629000229,-12282.0476358055,1.18504770434406,"ExN",100," std logFC = 1.185"
"GLI3",1.32815684483617,-40741.3143318655,-40730.8938974622,3.87207207506766,"Astrocyte",1," std logFC = 3.872"
"PRDM16",1.151750135502,-39116.3626046164,-39106.6353173937,3.75581492069164,"Astrocyte",2," std logFC = 3.756"
"RANBP3L",1.3303331322091,-36947.5769916673,-36938.2551695526,3.6014556323276,"Astrocyte",3," std logFC = 3.601"
"MRVI1",1.15363845275138,-36481.6987610126,-36472.6646209704,3.56839754102446,"Astrocyte",4," std logFC = 3.568"
"RNF219-AS1",1.46927878323564,-36376.8799656792,-36368.0689691883,3.56096393798288,"Astrocyte",5," std logFC = 3.561"
"PAPLN",1.03994698805044,-35702.00254336,-35693.3738684259,3.51313668567994,"Astrocyte",6," std logFC = 3.513"
"EFEMP1",1.24778701367905,-35650.3811468738,-35641.9066226196,3.50948067318195,"Astrocyte",7," std logFC = 3.509"
"ALDH1L1",1.30265853393808,-33253.9159221592,-33245.5749292975,3.34003012959167,"Astrocyte",8," std logFC = 3.34"
"FAM189A2",1.30356040119389,-32565.3325349198,-32557.1093250938,3.29140923584162,"Astrocyte",9," std logFC = 3.291"
"YAP1",1.12872510579242,-32079.1966344339,-32071.0787851236,3.25709106571576,"Astrocyte",10," std logFC = 3.257"
"SLC14A1",1.33739311436917,-30750.6914166737,-30742.6688775432,3.16330723552283,"Astrocyte",11," std logFC = 3.163"
"SLCO1C1",1.01772454373267,-29846.0255980432,-29838.0900702897,3.0994122663129,"Astrocyte",12," std logFC = 3.099"
"BMPR1B",1.44640679634772,-29646.1633216993,-29638.3078366534,3.08528964339044,"Astrocyte",13," std logFC = 3.085"
"ETNPPL",1.35341322055551,-29276.079314425,-29268.2979373514,3.05913046565082,"Astrocyte",14," std logFC = 3.059"
"PAMR1",1.10534223252782,-28605.1931786292,-28597.480794427,3.01167574658044,"Astrocyte",15," std logFC = 3.012"
"AC027117",1.19581613403585,-27450.3018048536,-27442.6539591725,2.92985187259454,"Astrocyte",16," std logFC = 2.93"
"SLC25A18",1.12534039732715,-26408.9760496077,-26401.3888285485,2.85588095439899,"Astrocyte",17," std logFC = 2.856"
"RFX4",1.36990552187328,-25389.3270398283,-25381.7969771829,2.78321820911456,"Astrocyte",18," std logFC = 2.783"
"ARHGEF26",1.21338939966063,-24193.6209907411,-24186.1449953169,2.6976411867108,"Astrocyte",19," std logFC = 2.698"
"EMX2OS",0.889426865240798,-24006.6731382015,-23999.2484360717,2.68421945253373,"Astrocyte",20," std logFC = 2.684"
"GLIS3",1.42749382415556,-23718.9803328924,-23711.6044209268,2.66354042915229,"Astrocyte",21," std logFC = 2.664"
"F11-AS1",0.821970472002083,-23402.8345299372,-23395.5051379873,2.64078051225958,"Astrocyte",22," std logFC = 2.641"
"STON2",1.27741428753329,-23348.7179493014,-23341.433009114,2.63688066733795,"Astrocyte",23," std logFC = 2.637"
"AL160272",0.822136153979598,-22761.0222330543,-22753.7798524813,2.59445176844959,"Astrocyte",24," std logFC = 2.594"
"NHSL1",1.25446213976112,-22581.508269698,-22574.3067111196,2.58146215509981,"Astrocyte",25," std logFC = 2.581"
"CD38",0.798065900730397,-22180.8897509489,-22173.7274130836,2.55242035842684,"Astrocyte",26," std logFC = 2.552"
"HIF3A",1.34815486102224,-22163.2736124975,-22156.1490149602,2.55114158561638,"Astrocyte",27," std logFC = 2.551"
"LINC00299",0.91640170732275,-22099.0952774227,-22092.0070475296,2.54648154813741,"Astrocyte",28," std logFC = 2.546"
"ACSS3",1.11024279276905,-22006.1331454655,-21999.0800068922,2.53972793352507,"Astrocyte",29," std logFC = 2.54"
"FGFR3",0.752555646644435,-21695.4366205759,-21688.4173835543,2.51712476149067,"Astrocyte",30," std logFC = 2.517"
"GNA14",1.19895483274173,-21633.1959802773,-21626.2095330785,2.51259081142395,"Astrocyte",31," std logFC = 2.513"
