"gene","logFC","log.p.value","log.FDR","std.logFC","cellType.target","rank_marker","anno_logFC"
"LEF1",0.556989897656474,-4099.7262694857,-4089.30583508239,2.69885792226429,"Endothelial",1," std logFC = 2.699"
"EBF1",0.748281659996789,-3510.6143980459,-3500.88711082316,2.48906646194557,"Endothelial",2," std logFC = 2.489"
"TBX3",0.290494116434222,-3179.36455211462,-3170.04272999998,2.3642321501993,"Endothelial",3," std logFC = 2.364"
"ITGA1",0.648931713044056,-3016.85292659662,-3007.81878655443,2.30086045143312,"Endothelial",4," std logFC = 2.301"
"CFH",0.391067105799843,-2983.58291320487,-2974.771916714,2.28769856285639,"Endothelial",5," std logFC = 2.288"
"NOSTRIN",0.29531406966509,-2889.05415587585,-2880.42548094177,2.24993531465615,"Endothelial",6," std logFC = 2.25"
"FLT1",0.747879624229299,-2735.84548455247,-2727.37096029822,2.18751756202286,"Endothelial",7," std logFC = 2.188"
"MECOM",0.53058588395224,-2628.43987925005,-2620.09888638842,2.14280523964687,"Endothelial",8," std logFC = 2.143"
"CLDN5",0.614275895499933,-2577.10943273736,-2568.88622291139,2.1211416920577,"Endothelial",9," std logFC = 2.121"
"TBX18",0.281057914516141,-2564.17120457797,-2556.05335526765,2.11565009570983,"Endothelial",10," std logFC = 2.116"
"ADGRL4",0.375847192051027,-2517.92243304242,-2509.89989391191,2.09591513123854,"Endothelial",11," std logFC = 2.096"
"ITIH5",0.395937172344148,-2463.98765628848,-2456.05212853497,2.07268873596369,"Endothelial",12," std logFC = 2.073"
"EPAS1",0.863516065471839,-2416.26433774036,-2408.40885269452,2.05194122586604,"Endothelial",13," std logFC = 2.052"
"TGM2",0.335270248266797,-2196.98889901678,-2189.20752194309,1.95407601023943,"Endothelial",14," std logFC = 1.954"
"COBLL1",0.835998832001847,-2130.78503888859,-2123.07265468638,1.92364618644247,"Endothelial",15," std logFC = 1.924"
"ADAMTS9",0.850255900589305,-2123.26446178691,-2115.61661610584,1.92016175896366,"Endothelial",16," std logFC = 1.92"
"CARMN",0.234543972518896,-2050.21445614157,-2042.62723508232,1.8860118029474,"Endothelial",17," std logFC = 1.886"
"SLC6A12",0.362339092611352,-1971.36654267612,-1963.8364800307,1.84850665545314,"Endothelial",18," std logFC = 1.849"
"ERG",0.406470286440255,-1957.91904752615,-1950.44305210201,1.84204049755396,"Endothelial",19," std logFC = 1.842"
"IGFBP7",0.853854324938271,-1950.24522386218,-1942.82052173243,1.83834124481829,"Endothelial",20," std logFC = 1.838"
"VIM",0.832679465471603,-1908.32811683996,-1900.95220487438,1.81801290733013,"Endothelial",21," std logFC = 1.818"
"LRRC32",0.21558297858914,-1907.77124077521,-1900.44184882526,1.81774143820131,"Endothelial",22," std logFC = 1.818"
"PTH1R",0.38493402865175,-1895.88137117635,-1888.59643098897,1.81193638594366,"Endothelial",23," std logFC = 1.812"
"IL4R",0.485628861918134,-1848.40462912648,-1841.16224855352,1.78858407649077,"Endothelial",24," std logFC = 1.789"
"CDH5",0.226794368463662,-1844.43056228282,-1837.22900370438,1.78661662653345,"Endothelial",25," std logFC = 1.787"
"VWF",0.667734863548466,-1835.28824084348,-1828.12590297819,1.78208292498009,"Endothelial",26," std logFC = 1.782"
"GGT5",0.374576352694966,-1821.83272226089,-1814.70812472358,1.77539090203681,"Endothelial",27," std logFC = 1.775"
"CD34",0.234302110113144,-1821.38784463454,-1814.29961474141,1.77516924776252,"Endothelial",28," std logFC = 1.775"
"IFITM3",0.666576148914203,-1820.27194500935,-1813.21880643603,1.77461315354628,"Endothelial",29," std logFC = 1.775"
"HLA-E",0.593988403622439,-1813.18937699466,-1806.17013997301,1.77107989427934,"Endothelial",30," std logFC = 1.771"
"FOSL2",0.5304241009629,-1807.94684449826,-1800.96039729944,1.76846037623672,"Endothelial",31," std logFC = 1.768"
"DUSP1",0.475794769708844,-1788.1774402287,-1781.22274172819,1.75854989572505,"Endothelial",32," std logFC = 1.759"
"KLF2",0.320883542075473,-1739.42048935673,-1732.49656251489,1.73388442952503,"Endothelial",33," std logFC = 1.734"
"BGN",0.25531505467499,-1720.56022438106,-1713.66615050236,1.72425581868005,"Endothelial",34," std logFC = 1.724"
"TBX2",0.196489386953731,-1692.22424421596,-1685.35915787414,1.70969528248206,"Endothelial",35," std logFC = 1.71"
"SMIM3",0.213721020097346,-1686.69830612004,-1679.86139065519,1.70684235045906,"Endothelial",36," std logFC = 1.707"
"IL18R1",0.331669832779829,-1677.96889739673,-1671.15938090607,1.70232649648608,"Endothelial",37," std logFC = 1.702"
"PCAT19",0.162767356154725,-1641.95604298924,-1635.17319474566,1.68357772315174,"Endothelial",38," std logFC = 1.684"
"NOTCH4",0.213611983351396,-1618.00179116694,-1611.24491840976,1.67099865263007,"Endothelial",39," std logFC = 1.671"
"ADIRF",0.675787433413097,-1613.71254728773,-1606.98099233853,1.66873694022647,"Endothelial",40," std logFC = 1.669"
"COL1A2",0.164634775710316,-1600.65253601767,-1593.94567368107,1.66183277981509,"Endothelial",41," std logFC = 1.662"
"TINAGL1",0.175838578144425,-1578.23383650627,-1571.55107172124,1.64991846531824,"Endothelial",42," std logFC = 1.65"
"ADGRF5",0.355007101763151,-1573.38765403103,-1566.72841974342,1.64733243366596,"Endothelial",43," std logFC = 1.647"
"FENDRR",0.148688565112428,-1565.24606683565,-1558.60982206626,1.64297935990645,"Endothelial",44," std logFC = 1.643"
"FOXC1",0.17317109853961,-1555.31722295519,-1548.70345104165,1.63765609173372,"Endothelial",45," std logFC = 1.638"
"ADGRD1",0.272773654722524,-1523.29460295792,-1516.7028099511,1.62037629740792,"Endothelial",46," std logFC = 1.62"
"PEAR1",0.172021377786156,-1516.75024151041,-1510.17995470881,1.6168236635645,"Endothelial",47," std logFC = 1.617"
"MT2A",0.933156022708052,-1503.18953644737,-1496.64030305498,1.6094388571068,"Endothelial",48," std logFC = 1.609"
"ANXA3",0.241970478635037,-1498.56316436395,-1492.03455025875,1.60691219784899,"Endothelial",49," std logFC = 1.607"
"IL1R1",0.293776930655111,-1497.22748343588,-1490.719072038,1.60618203403235,"Endothelial",50," std logFC = 1.606"
"JUNB",0.519741192994391,-1489.64316639382,-1483.15455762324,1.60203008722703,"Endothelial",51," std logFC = 1.602"
"NOTCH3",0.26892534901626,-1480.93998384082,-1474.47079315609,1.59725319045534,"Endothelial",52," std logFC = 1.597"
"TFPI",0.23343337659212,-1476.53264206967,-1470.08249957991,1.59482903541155,"Endothelial",53," std logFC = 1.595"
"PECAM1",0.450970908209612,-1458.01479879827,-1451.58334844152,1.58460579640612,"Endothelial",54," std logFC = 1.585"
"LGALS1",0.444491956842385,-1429.87997882236,-1423.46687760428,1.56895386846604,"Endothelial",55," std logFC = 1.569"
"EGFL7",0.380286803564973,-1422.28277210014,-1415.88768938757,1.56470223039052,"Endothelial",56," std logFC = 1.565"
"ARHGAP29",0.718785838011964,-1409.11854917291,-1402.74116603743,1.55730932787966,"Endothelial",57," std logFC = 1.557"
"LINC02147",0.304695925591278,-1396.15509723303,-1389.79510584026,1.54999683033247,"Endothelial",58," std logFC = 1.55"
"YBX3",0.596864470466209,-1390.95249578201,-1384.60959882261,1.54705298858467,"Endothelial",59," std logFC = 1.547"
"ITGA10",0.232978725633758,-1390.46828847796,-1384.14219863687,1.54677873677858,"Endothelial",60," std logFC = 1.547"
"SPARC",0.791563685191692,-1381.819902194,-1375.51034165486,1.54187262676416,"Endothelial",61," std logFC = 1.542"
"ZNF366",0.188916398588679,-1378.57786512053,-1372.28456510227,1.54002967814594,"Endothelial",62," std logFC = 1.54"
"SLC2A1",0.505235652396693,-1374.76002881206,-1368.48272913515,1.53785675182821,"Endothelial",63," std logFC = 1.538"
"KANK3",0.274850932089968,-1368.67782808134,-1362.41627676139,1.53438908289699,"Endothelial",64," std logFC = 1.534"
"NDUFA4L2",0.276572480686586,-1361.94548570666,-1355.69943857324,1.53054212984338,"Endothelial",65," std logFC = 1.531"
"MT1E",0.583934945260505,-1361.81858727028,-1355.587807609,1.53046953097806,"Endothelial",66," std logFC = 1.53"
"MYOF",0.413915912606665,-1349.28208715384,-1343.06634536992,1.52328132439883,"Endothelial",67," std logFC = 1.523"
"STOM",0.625878234763578,-1326.37767137853,-1320.1767446804,1.51006516980537,"Endothelial",68," std logFC = 1.51"
"FAM107A",0.930289576217193,-1323.84049122397,-1317.65416332526,1.50859447333684,"Endothelial",69," std logFC = 1.509"
"AC092957",0.311349770789273,-1299.81359274194,-1293.64165358069,1.49459947696233,"Endothelial",70," std logFC = 1.495"
"AHNAK",0.74071579469095,-1294.914602599,-1288.75684807273,1.49173075546961,"Endothelial",71," std logFC = 1.492"
"ID1",0.401279376299408,-1278.71895104075,-1272.57518275646,1.4822097118358,"Endothelial",72," std logFC = 1.482"
"ADAMTS1",0.423849272152742,-1264.74793490437,-1258.61795994221,1.47394983271846,"Endothelial",73," std logFC = 1.474"
"PHLDB2",0.304998966289447,-1254.39542181319,-1248.27905250308,1.46780094358717,"Endothelial",74," std logFC = 1.468"
"ABCG2",0.298745970054894,-1240.94187273961,-1234.83892644984,1.45977361033535,"Endothelial",75," std logFC = 1.46"
"MT1X",0.615899107220721,-1222.07733917919,-1215.98763811617,1.44844684683018,"Endothelial",76," std logFC = 1.448"
"TAGLN2",0.313746830196284,-1217.41730632532,-1211.34067734386,1.44563590384579,"Endothelial",77," std logFC = 1.446"
"GJC1",0.236612534628457,-1195.28668999544,-1189.22296441882,1.43221535294084,"Endothelial",78," std logFC = 1.432"
"SMAD6",0.289175419006995,-1191.66525527706,-1185.61426872622,1.43000786434967,"Endothelial",79," std logFC = 1.43"
"C11orf96",0.375618210172725,-1187.24811891557,-1181.20971114693,1.42731096502127,"Endothelial",80," std logFC = 1.427"
"RHOC",0.31210811285219,-1173.84600436532,-1167.82001911669,1.41909851323938,"Endothelial",81," std logFC = 1.419"
"CEBPD",0.560239934201782,-1173.23737899885,-1167.22366384281,1.41872449378454,"Endothelial",82," std logFC = 1.419"
"MYL9",0.322159500885976,-1172.64223607574,-1166.64064228023,1.41835866922194,"Endothelial",83," std logFC = 1.418"
"TIE1",0.193410747495381,-1166.80022122811,-1160.81060362365,1.41476291407557,"Endothelial",84," std logFC = 1.415"
"GADD45B",0.349325051397924,-1166.20508574219,-1160.22730259538,1.41439612181615,"Endothelial",85," std logFC = 1.414"
"C1QTNF1",0.144100396864086,-1161.39196572519,-1155.42587861814,1.4114263885207,"Endothelial",86," std logFC = 1.411"
"APOE",0.892504701585539,-1159.69766428726,-1153.7431380026,1.41037957858666,"Endothelial",87," std logFC = 1.41"
"TBX15",0.162597652230008,-1158.92120970242,-1152.97811211359,1.40989960607872,"Endothelial",88," std logFC = 1.41"
"ATP10A",0.468991667364,-1152.85369268175,-1146.92189464818,1.40614355800045,"Endothelial",89," std logFC = 1.406"
"B2M",0.678444557916771,-1150.78627338307,-1144.86564865009,1.40486156044718,"Endothelial",90," std logFC = 1.405"
"GJA1",0.739761545307825,-1145.4179846704,-1139.50840977361,1.40152750794247,"Endothelial",91," std logFC = 1.402"
"IFITM2",0.303352084398449,-1141.19069224105,-1135.29204641479,1.39889677549713,"Endothelial",92," std logFC = 1.399"
"SYNE2",0.59650277260073,-1140.85533051434,-1134.96749560419,1.39868787161885,"Endothelial",93," std logFC = 1.399"
"HEYL",0.222535717460576,-1139.81072981247,-1133.93359019144,1.39803697777384,"Endothelial",94," std logFC = 1.398"
"CAVIN2",0.16574824454478,-1133.5011639814,-1127.63460646969,1.39409932862863,"Endothelial",95," std logFC = 1.394"
"PDGFRB",0.531392600136237,-1131.44289634418,-1125.58681013234,1.39281252450321,"Endothelial",96," std logFC = 1.393"
"EDN1",0.259729261602553,-1129.30867181724,-1123.46294839244,1.39147703852352,"Endothelial",97," std logFC = 1.391"
"COL6A2",0.200404383713075,-1127.0900913647,-1121.25462444006,1.3900874740848,"Endothelial",98," std logFC = 1.39"
"EMP2",0.274093999855866,-1126.36208379717,-1120.53676924399,1.38963121293541,"Endothelial",99," std logFC = 1.39"
"RBPMS",0.587188149278414,-1125.23245597732,-1119.41719176,1.38892296388812,"Endothelial",100," std logFC = 1.389"
"MLIP",0.826232626495733,-27719.1431777872,-27708.7227433839,1.94819649032633,"ExN",1," std logFC = 1.948"
"SV2B",0.985101749330434,-26815.9650026967,-26806.2377154739,1.90584892220724,"ExN",2," std logFC = 1.906"
"MIR4435-2HG",0.915432715278627,-25265.5047298028,-25256.1829076882,1.83288635441375,"ExN",3," std logFC = 1.833"
"KIAA1211L",0.933711992954993,-25163.7757425583,-25154.7416025161,1.82808496903544,"ExN",4," std logFC = 1.828"
"CA10",1.02327333229998,-24805.4700207056,-24796.6590242147,1.81115785215735,"ExN",5," std logFC = 1.811"
"SIDT1",0.842549260129862,-24619.7025779542,-24611.0739030201,1.80237166344912,"ExN",6," std logFC = 1.802"
"NWD2",0.751700274823862,-24548.6440858239,-24540.1695615697,1.79900892712335,"ExN",7," std logFC = 1.799"
"SLIT3",0.903341653864729,-21662.2457466685,-21653.9047538069,1.66133661646801,"ExN",8," std logFC = 1.661"
"LRRK1",0.745029270312311,-21634.7967909586,-21626.5735811326,1.66001547967729,"ExN",9," std logFC = 1.66"
"PTGER3",0.658350241598492,-21222.0289970389,-21213.9111477286,1.64011663985998,"ExN",10," std logFC = 1.64"
"PTPRR",0.87826742565526,-20875.6377385962,-20867.6151994657,1.62336943661398,"ExN",11," std logFC = 1.623"
"GRM1",0.900645202319892,-20855.8744974911,-20847.9389697376,1.62241254961568,"ExN",12," std logFC = 1.622"
"AC090568",0.874601485687432,-20810.3900248071,-20802.5345397613,1.62020972660469,"ExN",13," std logFC = 1.62"
"FAM19A1",0.986477772145907,-20770.7175844511,-20762.9362073774,1.61828772027591,"ExN",14," std logFC = 1.618"
"AC011287",0.899544925533176,-20753.6907201569,-20745.9783359546,1.61746263172741,"ExN",15," std logFC = 1.617"
"LINC01197",0.717742359747618,-20184.4301407458,-20176.7822950647,1.58980964563363,"ExN",16," std logFC = 1.59"
"TG",0.657598359149836,-20080.9542672281,-20073.3670461689,1.58476848252168,"ExN",17," std logFC = 1.585"
"ENC1",0.823725524059495,-19998.2023616446,-19990.6722989991,1.5807335992659,"ExN",18," std logFC = 1.581"
"SLC17A7",0.53670233641048,-19712.2903249452,-19704.814329521,1.56676939023081,"ExN",19," std logFC = 1.567"
"MIR222HG",0.694885808908951,-19378.4274250624,-19371.0027229326,1.5504155271775,"ExN",20," std logFC = 1.55"
"LRMP",0.689366211612313,-19331.7930638976,-19324.417151932,1.54812697837922,"ExN",21," std logFC = 1.548"
"LINC01250",0.793029795306498,-19004.5258101762,-18997.1964182263,1.53203644946995,"ExN",22," std logFC = 1.532"
"ST6GALNAC5",0.90103612351771,-18570.5649382332,-18563.2799980458,1.51061568590691,"ExN",23," std logFC = 1.511"
"PALMD",0.63655334912504,-18553.6270756722,-18546.3846950993,1.50977758851847,"ExN",24," std logFC = 1.51"
"AL117190",0.770375785053813,-18446.9172188734,-18439.715660295,1.50449391487763,"ExN",25," std logFC = 1.504"
"ARHGEF28",0.785334182632443,-17973.4223621303,-17966.260024265,1.48097211039599,"ExN",26," std logFC = 1.481"
"CEMIP2",0.749517625606111,-17869.1437480021,-17862.0191504648,1.47577442261568,"ExN",27," std logFC = 1.476"
"ADAMTS3",0.68861481446362,-17864.0744540918,-17856.9862241986,1.47552158265532,"ExN",28," std logFC = 1.476"
"C3orf67-AS1",0.662191768722244,-17803.9556957442,-17796.9025571709,1.47252187867988,"ExN",29," std logFC = 1.473"
"LY86-AS1",0.601289282552225,-17549.8024097387,-17542.7831727171,1.45981625681098,"ExN",30," std logFC = 1.46"
"LINC02346",0.509867575890198,-17530.7951443513,-17523.8086971524,1.45886444100575,"ExN",31," std logFC = 1.459"
"ANKRD33B",0.685530161479097,-17482.6749721628,-17475.7202736623,1.45645374117961,"ExN",32," std logFC = 1.456"
"CDH9",0.870577242732703,-17204.5694256595,-17197.6454988176,1.44249240793169,"ExN",33," std logFC = 1.442"
"CLSTN2",0.849822454075661,-17193.5933284541,-17186.6992545755,1.44194036226792,"ExN",34," std logFC = 1.442"
