"gene","cellType.target","mean.target","cellType","mean","ratio","rank_ratio","anno_ratio"
"COBLL1","Endothelial",0.989305944864323,"ExN",0.2796996873892,3.53702914042843,1,"Endothelial/ExN: 3.537"
"SPARC","Endothelial",1.08591231956329,"Astrocyte",0.355440976533894,3.05511291959816,2,"Endothelial/Astrocyte: 3.055"
"ARHGAP29","Endothelial",0.927446568721248,"ExN",0.31080252686204,2.98403805813627,3,"Endothelial/ExN: 2.984"
"IFITM3","Endothelial",0.808956706394449,"Astrocyte",0.281118011442542,2.87764096737641,4,"Endothelial/Astrocyte: 2.878"
"SERF2","Endothelial",0.848181624891429,"Microglia",0.33961786038504,2.49745883190539,5,"Endothelial/Microglia: 2.497"
"EEF2","Endothelial",0.790955902539322,"Microglia",0.325813507710915,2.42763385746767,6,"Endothelial/Microglia: 2.428"
"SRP14","Endothelial",0.952981966661653,"Astrocyte",0.39353444529466,2.42159734187462,7,"Endothelial/Astrocyte: 2.422"
"UBB","Endothelial",0.764159687441072,"Oligodendrocyte",0.31647819668291,2.41457293251298,8,"Endothelial/Oligodendrocyte: 2.415"
"EPAS1","Endothelial",1.02496747302251,"Astrocyte",0.425200947122427,2.41054842412521,9,"Endothelial/Astrocyte: 2.411"
"RPL8","Endothelial",0.836269247568511,"Microglia",0.34813236760903,2.4021588492676,10,"Endothelial/Microglia: 2.402"
"RPSA","Endothelial",0.763577894696614,"Oligodendrocyte",0.318690185986328,2.39598810466467,11,"Endothelial/Oligodendrocyte: 2.396"
"RPL36","Endothelial",0.847953941161162,"Microglia",0.367473267551041,2.30752551556253,12,"Endothelial/Microglia: 2.308"
"PEA15","Endothelial",0.976031453773759,"ExN",0.42376769892514,2.30322286537979,13,"Endothelial/ExN: 2.303"
"ADIRF","Endothelial",0.845739329961443,"Astrocyte",0.368077345209097,2.29772177225685,14,"Endothelial/Astrocyte: 2.298"
"AC105402.3","Endothelial",1.02803617550288,"InN",0.450127871145604,2.28387585262486,15,"Endothelial/InN: 2.284"
"RPL15","Endothelial",0.986168348620195,"ExN",0.43263843952602,2.27942840608569,16,"Endothelial/ExN: 2.279"
"MT-ND5","Endothelial",0.953423123740168,"Microglia",0.418298457345335,2.27928912239102,17,"Endothelial/Microglia: 2.279"
"FAU","Endothelial",0.804252533228262,"Microglia",0.357614510560247,2.24893708023285,18,"Endothelial/Microglia: 2.249"
"EIF1","Endothelial",0.976681692222773,"Microglia",0.441540317693696,2.21198756508644,19,"Endothelial/Microglia: 2.212"
"EEF1A1","Endothelial",1.02647509208818,"Microglia",0.4670516186593,2.19777654348943,20,"Endothelial/Microglia: 2.198"
"RPS23","Endothelial",0.801946505902607,"Microglia",0.373205303768362,2.14880790225948,21,"Endothelial/Microglia: 2.149"
"MAP1A","Endothelial",0.994023802775743,"Oligodendrocyte",0.463864785380917,2.14291714763273,22,"Endothelial/Oligodendrocyte: 2.143"
"H3F3B","Endothelial",1.00757191820076,"Astrocyte",0.47283867304639,2.1308999784413,23,"Endothelial/Astrocyte: 2.131"
"DHFR","Endothelial",0.788537538424542,"Microglia",0.371072485925579,2.12502292229419,24,"Endothelial/Microglia: 2.125"
"TUBA1B","Endothelial",0.926396709364929,"ExN",0.43667724569326,2.1214677854217,25,"Endothelial/ExN: 2.121"
"GAPDH","Endothelial",1.17349351607484,"Astrocyte",0.553390722629684,2.12055148033284,26,"Endothelial/Astrocyte: 2.121"
"ACTG1","Endothelial",1.14630851728732,"Astrocyte",0.542575890066564,2.11271554500273,27,"Endothelial/Astrocyte: 2.113"
"VIM","Endothelial",1.06222913384039,"Astrocyte",0.507263946613048,2.09403633144598,28,"Endothelial/Astrocyte: 2.094"
"RPL35","Endothelial",0.815431042854146,"Microglia",0.390273200534458,2.08938518385956,29,"Endothelial/Microglia: 2.089"
"TMSB10","Endothelial",1.14922763364833,"Microglia",0.552128526822579,2.08144947746492,30,"Endothelial/Microglia: 2.081"
"RPL10","Endothelial",0.822100281174769,"Microglia",0.400985532894108,2.05019935567568,31,"Endothelial/Microglia: 2.05"
"RPL18","Endothelial",1.05339329339806,"Microglia",0.526658066415985,2.00014650979641,32,"Endothelial/Microglia: 2"
"RPS15","Endothelial",0.995986555035803,"Microglia",0.500890291087304,1.98843254253097,33,"Endothelial/Microglia: 1.988"
"RPS27","Endothelial",0.889986719001489,"Microglia",0.454290980892389,1.95906755017068,34,"Endothelial/Microglia: 1.959"
"RPS9","Endothelial",0.826502434350135,"Microglia",0.422036550729009,1.95836695405284,35,"Endothelial/Microglia: 1.958"
"RPL19","Endothelial",0.776592340726664,"Microglia",0.397930023800096,1.95158016304091,36,"Endothelial/Microglia: 1.952"
"BSG","Endothelial",1.01893969133306,"Astrocyte",0.526242845759135,1.93625376486246,37,"Endothelial/Astrocyte: 1.936"
"ADAMTS9","Endothelial",1.03240498962678,"OPC",0.537107600323427,1.92215673173327,38,"Endothelial/OPC: 1.922"
"ACTB","Endothelial",1.38319656261528,"Microglia",0.719638574644265,1.92207117760332,39,"Endothelial/Microglia: 1.922"
"UBC","Endothelial",1.03386440352404,"Astrocyte",0.53835223624759,1.92042371873526,40,"Endothelial/Astrocyte: 1.92"
"RPL7A","Endothelial",0.840525913487812,"Microglia",0.438209144960727,1.91809304564637,41,"Endothelial/Microglia: 1.918"
"RPS28","Endothelial",0.83312212553187,"Microglia",0.438543578506673,1.89974763367603,42,"Endothelial/Microglia: 1.9"
"MT-ND3","Endothelial",1.32359120167498,"Microglia",0.702978929644222,1.88283196815707,43,"Endothelial/Microglia: 1.883"
"AES","Endothelial",0.79642887279388,"InN",0.427577587030377,1.86265346208921,44,"Endothelial/InN: 1.863"
"RPS27A","Endothelial",0.779246867892843,"Microglia",0.418429576304953,1.86231306776681,45,"Endothelial/Microglia: 1.862"
"RPS14","Endothelial",1.04205128558631,"Microglia",0.570073443105839,1.8279246265342,46,"Endothelial/Microglia: 1.828"
"RPL32","Endothelial",0.793595695014871,"ExN",0.436390584053687,1.81854449663662,47,"Endothelial/ExN: 1.819"
"RPL3","Endothelial",1.09541502053621,"Microglia",0.605618052792748,1.80875556051346,48,"Endothelial/Microglia: 1.809"
"RPS18","Endothelial",0.99316604748871,"Microglia",0.55085867530947,1.80294164729411,49,"Endothelial/Microglia: 1.803"
"APOLD1","Endothelial",0.830049432466146,"Oligodendrocyte",0.463188754677658,1.79203278163304,50,"Endothelial/Oligodendrocyte: 1.792"
"RPL28","Endothelial",1.13352190761752,"Microglia",0.637805145871694,1.77722289472645,51,"Endothelial/Microglia: 1.777"
"MT-CYB","Endothelial",1.36279374454867,"Microglia",0.768378170912881,1.77359768423611,52,"Endothelial/Microglia: 1.774"
"RPS6","Endothelial",0.751922208629595,"Microglia",0.424223877676988,1.77246554990505,53,"Endothelial/Microglia: 1.772"
"NORAD","Endothelial",1.03720439648233,"InN",0.59077087124238,1.75567965004962,54,"Endothelial/InN: 1.756"
"RPLP1","Endothelial",1.17139783024034,"Microglia",0.670570928018838,1.74686641083766,55,"Endothelial/Microglia: 1.747"
"MT-ND2","Endothelial",1.38258495103273,"Microglia",0.823240900505069,1.67944152214073,56,"Endothelial/Microglia: 1.679"
"RPL13A","Endothelial",1.05112485440019,"Microglia",0.629324207275214,1.67024379842505,57,"Endothelial/Microglia: 1.67"
"JUND","Endothelial",0.838201036995796,"Oligodendrocyte",0.503159396349024,1.6658757504637,58,"Endothelial/Oligodendrocyte: 1.666"
"MT-ND4","Endothelial",1.44020514177384,"Oligodendrocyte",0.865742426669253,1.66354922365847,59,"Endothelial/Oligodendrocyte: 1.664"
"MT-ND1","Endothelial",1.41633918725544,"Microglia",0.856648491810384,1.65334930347247,60,"Endothelial/Microglia: 1.653"
"HSP90AB1","Endothelial",1.18445282326612,"InN",0.71846540364566,1.64858713760737,61,"Endothelial/InN: 1.649"
"TMSB4X","Endothelial",1.14142702395555,"Microglia",0.697601827177018,1.63621564549875,62,"Endothelial/Microglia: 1.636"
"RPS19","Endothelial",1.05017123570884,"Microglia",0.644135469263263,1.63035772103962,63,"Endothelial/Microglia: 1.63"
"PRKAR1A","Endothelial",0.954288883203859,"ExN",0.586886876698514,1.62601843914476,64,"Endothelial/ExN: 1.626"
"ITM2C","Endothelial",0.804748263988531,"Astrocyte",0.497763495758852,1.61672816678064,65,"Endothelial/Astrocyte: 1.617"
"PEBP1","Endothelial",1.25959184845549,"Oligodendrocyte",0.790259885632989,1.5938957188072,66,"Endothelial/Oligodendrocyte: 1.594"
"TMBIM6","Endothelial",0.877074058751294,"ExN",0.551055797690554,1.59162477271279,67,"Endothelial/ExN: 1.592"
"CALM3","Endothelial",0.949210814746839,"ExN",0.598051801044076,1.58717156789715,68,"Endothelial/ExN: 1.587"
"MT2A","Endothelial",1.34251998376039,"Astrocyte",0.851952339418051,1.57581583105627,69,"Endothelial/Astrocyte: 1.576"
"CCNI","Endothelial",0.883789316685582,"InN",0.576899318038163,1.53196457172293,70,"Endothelial/InN: 1.532"
"RPL34","Endothelial",0.825329641955848,"ExN",0.539175204651711,1.53072625527909,71,"Endothelial/ExN: 1.531"
"MT1X","Endothelial",0.817236546863124,"Astrocyte",0.540992735117605,1.51062388422918,72,"Endothelial/Astrocyte: 1.511"
"RPS8","Endothelial",0.754306173596914,"Microglia",0.500582873233948,1.50685573544261,73,"Endothelial/Microglia: 1.507"
"MT-ATP6","Endothelial",1.48375504734561,"Microglia",0.987401640221212,1.50268643164619,74,"Endothelial/Microglia: 1.503"
"TPT1","Endothelial",0.8723087277228,"Microglia",0.582473169628836,1.49759469312321,75,"Endothelial/Microglia: 1.498"
