"gene","logFC","log.p.value","log.FDR","std.logFC","cellType.target","rank_marker","anno_logFC"
"OPCML",0.780593636166383,-7216.22618783454,-7206.6884159706,1.11676617669375,"Basal",1," std logFC = 1.117"
"NTM",1.08529160688044,-6877.2635925729,-6868.41896788951,1.08659022061896,"Basal",2," std logFC = 1.087"
"CACNA1E",0.810148474136516,-6844.63215300069,-6836.19299342541,1.08366142547001,"Basal",3," std logFC = 1.084"
"DPP10",0.962650561734781,-6646.03506005813,-6637.8835825553,1.06574157087411,"Basal",4," std logFC = 1.066"
"PPARGC1A",0.782978888378481,-5999.02753298979,-5991.09919903828,1.00612807140452,"Basal",5," std logFC = 1.006"
"COL25A1",0.827329638999635,-5044.36803115091,-5036.6220187562,0.914026128176624,"Basal",6," std logFC = 0.914"
"SLC24A3",0.582408248249582,-4857.77388571225,-4850.18202399736,0.895327644093037,"Basal",7," std logFC = 0.895"
"PEX5L",0.770911693340185,-4729.59084158001,-4722.13251125775,0.882330502545226,"Basal",8," std logFC = 0.882"
"DPP6",0.496508234510733,-4273.42843877084,-4266.08789148423,0.834974065906471,"Basal",9," std logFC = 0.835"
"SOX5",0.706210001767531,-4219.22687822051,-4211.99169144956,0.829223004998217,"Basal",10," std logFC = 0.829"
"MYRIP",0.610723933339035,-4214.12020802285,-4206.9803314317,0.828679709515032,"Basal",11," std logFC = 0.829"
"RPS6KA2",0.573885945276602,-3722.61716720448,-3715.56430199032,0.775126082913235,"Basal",12," std logFC = 0.775"
"CACNB2",0.60089422593775,-3539.98497473284,-3533.01215222635,0.754524659989493,"Basal",13," std logFC = 0.755"
"ZNF385B",0.67848895420696,-3472.14875596747,-3465.25004143314,0.7467645817031,"Basal",14," std logFC = 0.747"
"ROBO1",0.62677060325669,-3192.01652376655,-3185.18680210371,0.714045427701284,"Basal",15," std logFC = 0.714"
"TMEM132C",0.39773762937334,-3108.00479090647,-3101.23960776477,0.704006007582955,"Basal",16," std logFC = 0.704"
"TENM3",0.645512147051372,-2840.18926296477,-2833.48470444488,0.671222690226167,"Basal",17," std logFC = 0.671"
"MEIS2",0.470989003550702,-2812.39290962432,-2805.74550951827,0.667747366314461,"Basal",18," std logFC = 0.668"
"SEZ6L",0.485655605805162,-2765.83553610773,-2759.24220322295,0.661893730834539,"Basal",19," std logFC = 0.662"
"ANO4",0.440100235960914,-2759.86424178133,-2753.32220219094,0.661139957966332,"Basal",20," std logFC = 0.661"
"SUSD4",0.409524877239629,-2732.91747356755,-2726.42422414133,0.657729763847942,"Basal",21," std logFC = 0.658"
"GRIK4",0.351201820000233,-2666.22520655497,-2659.77847714439,0.649227702170818,"Basal",22," std logFC = 0.649"
"ARHGAP18",0.203382623925114,-2616.81818306972,-2610.4159054217,0.642870650320401,"Basal",23," std logFC = 0.643"
"SLIT2",0.492129491184924,-2544.43990611716,-2538.08018808356,0.633464494059937,"Basal",24," std logFC = 0.633"
"CALN1",0.5099796550607,-2536.59166172131,-2530.27276568224,0.632437693609715,"Basal",25," std logFC = 0.632"
"SFMBT2",0.437633793456731,-2536.47839870206,-2530.19872337614,0.632422865213742,"Basal",26," std logFC = 0.632"
"TMTC1",0.478512019546674,-2527.98771096722,-2521.74577596928,0.631310452634214,"Basal",27," std logFC = 0.631"
"APBA2",0.393140744403591,-2493.85558682723,-2487.65001947346,0.626822302331482,"Basal",28," std logFC = 0.627"
"PTPN14",0.385455945021899,-2492.22326769673,-2486.05279166278,0.626607002455017,"Basal",29," std logFC = 0.627"
"DENND2A",0.248871830850363,-2488.05776312531,-2481.92118864303,0.626057304481555,"Basal",30," std logFC = 0.626"
"SDK1",0.339966936974606,-2485.37182948055,-2479.26804482109,0.625702646680496,"Basal",31," std logFC = 0.626"
"NRP1",0.208072852211507,-2473.14350307955,-2467.0714671184,0.624085892388944,"Basal",32," std logFC = 0.624"
"IGSF21",0.350817515201594,-2422.27531489178,-2416.2340505893,0.617323040441116,"Basal",33," std logFC = 0.617"
"SIPA1L3",0.375140627131587,-2363.12188185433,-2357.110470515,0.609380847633633,"Basal",34," std logFC = 0.609"
"SPOCK1",0.502248226225541,-2361.37017169564,-2355.38774789319,0.609144347954262,"Basal",35," std logFC = 0.609"
"FSTL5",0.363281892902545,-2350.46169226557,-2344.50743934008,0.6076698662458,"Basal",36," std logFC = 0.608"
"ZFHX3",0.314450615751184,-2297.61524288395,-2291.68838893265,0.600484110966402,"Basal",37," std logFC = 0.6"
"SH3RF3",0.385752684445136,-2287.7244067871,-2281.82422108289,0.599131236542986,"Basal",38," std logFC = 0.599"
"PLXNA4",0.412410861210156,-2265.53554148996,-2259.66133127215,0.596086901589303,"Basal",39," std logFC = 0.596"
"PTPRS",0.37053876105742,-2243.68583589896,-2237.83694348913,0.593076329970364,"Basal",40," std logFC = 0.593"
"TRPC6",0.202614665000083,-2223.34280273487,-2217.51860293763,0.590261792172716,"Basal",41," std logFC = 0.59"
"GRIN3A",0.282854079699535,-2071.53808139087,-2065.73797914521,0.56889007023845,"Basal",42," std logFC = 0.569"
"HSPA12A",0.332962245777177,-2071.24494548915,-2065.4683737409,0.568848144761826,"Basal",43," std logFC = 0.569"
"TMEM132D",0.527221315475491,-2053.1199653931,-2047.36638316307,0.566250709667247,"Basal",44," std logFC = 0.566"
"SLIT3",0.429097192230911,-1941.39766893291,-1935.66655955873,0.550009650276878,"Basal",45," std logFC = 0.55"
"GRIP1",0.365622775695126,-1928.66116960127,-1922.95203913381,0.548132002529206,"Basal",46," std logFC = 0.548"
"SV2B",0.338220077436095,-1859.58253367457,-1853.89490941234,0.537850070067065,"Basal",47," std logFC = 0.538"
"MEGF11",0.362501946516518,-1838.00650862284,-1832.3399377698,0.53460364653997,"Basal",48," std logFC = 0.535"
"CNR1",0.248339875095699,-1827.61292598468,-1821.96697441884,0.533033672828992,"Basal",49," std logFC = 0.533"
"GRK3",0.344117867574133,-1774.01299587536,-1768.38724701684,0.52487265070228,"Basal",50," std logFC = 0.525"
"SORCS3",0.467902799962418,-1768.87389285497,-1763.26794662375,0.524084377713486,"Basal",51," std logFC = 0.524"
"GPC5",0.38312860860521,-1766.91895200886,-1761.3324238635,0.523784243315172,"Basal",52," std logFC = 0.524"
"CCDC60",0.282112709122764,-1760.5370359596,-1754.96955600921,0.522803407602106,"Basal",53," std logFC = 0.523"
"C1QL3",0.221614230887953,-1726.18446650531,-1720.63567868793,0.517495926230055,"Basal",54," std logFC = 0.517"
"CHST8",0.179793658482017,-1679.37231539964,-1673.84187672093,0.510185823957674,"Basal",55," std logFC = 0.51"
"NETO2",0.321998755056575,-1664.15750813961,-1658.6450879664,0.507790055628948,"Basal",56," std logFC = 0.508"
"SIPA1L2",0.302348841450885,-1655.97363552298,-1650.47891492687,0.506497282854477,"Basal",57," std logFC = 0.506"
"TEKT5",0.155059604943416,-1646.84345438529,-1641.36612553189,0.505051592954039,"Basal",58," std logFC = 0.505"
"OSBP2",0.327948858346158,-1617.73404654531,-1612.27381212527,0.500417826631039,"Basal",59," std logFC = 0.5"
"FRMD4A",0.204458371618557,-1581.13941156313,-1575.6959842614,0.494538261244689,"Basal",60," std logFC = 0.495"
"CCBE1",0.440606698410779,-1559.2637044189,-1553.83680641912,0.490993848953828,"Basal",61," std logFC = 0.491"
"EML1",0.28135539336343,-1558.61334233101,-1553.20270485211,0.490888127202291,"Basal",62," std logFC = 0.491"
"GDA",0.277457937432074,-1532.70411509004,-1527.30947795249,0.486659812549402,"Basal",63," std logFC = 0.487"
"PTPRU",0.17854164852338,-1522.65032209395,-1517.27143331337,0.485010255183773,"Basal",64," std logFC = 0.485"
"MYO16",0.352350376145484,-1505.94685563637,-1500.58347104232,0.482258584072389,"Basal",65," std logFC = 0.482"
"PRKCH",0.139994810311637,-1462.82894875252,-1457.4808316306,0.475089980295896,"Basal",66," std logFC = 0.475"
"PRKD1",0.260571551198089,-1440.04984862504,-1434.71676938049,0.471263583115302,"Basal",67," std logFC = 0.471"
"GPR39",0.105157633025513,-1424.81846309512,-1419.50019893635,0.468689464440073,"Basal",68," std logFC = 0.469"
"SERPINE2",0.131272193369305,-1385.81232505178,-1380.50865969243,0.462038866955513,"Basal",69," std logFC = 0.462"
