"gene","cellType.target","mean.target","cellType","mean","ratio","rank_ratio","anno_ratio"
"SLC24A3","Basal",0.802644619715108,"Lateral",0.223582496887438,3.58992600444568,1,"Basal/Lateral: 3.59"
"GRIK4","Basal",0.566349650952524,"Lateral",0.211060813673213,2.68334818337907,2,"Basal/Lateral: 2.683"
"IGSF21","Basal",0.563073803156,"Lateral",0.212623767187251,2.648216662722,3,"Basal/Lateral: 2.648"
"MEIS2","Basal",0.774676913655244,"Lateral",0.306642622068208,2.52631844989549,4,"Basal/Lateral: 2.526"
"ZFHX3","Basal",0.570068019508676,"Lateral",0.247425627617738,2.30399746783468,5,"Basal/Lateral: 2.304"
"MYRIP","Basal",1.17365448250908,"Lateral",0.564116412311012,2.08051823505892,6,"Basal/Lateral: 2.081"
"COL25A1","Basal",1.67261227052978,"Lateral",0.852109407873916,1.96290787905169,7,"Basal/Lateral: 1.963"
"SIPA1L2","Basal",0.636639409081466,"Lateral",0.331351327557215,1.9213425634202,8,"Basal/Lateral: 1.921"
"PTPN14","Basal",0.857955207659435,"Lateral",0.462385803271138,1.85549643088056,9,"Basal/Lateral: 1.855"
"ZNF385B","Basal",1.46389758264588,"Lateral",0.797049081138687,1.83664672262656,10,"Basal/Lateral: 1.837"
"SLIT2","Basal",1.09719120201821,"Lateral",0.603281678430458,1.81870466358725,11,"Basal/Lateral: 1.819"
"ANO4","Basal",0.977967570260874,"Lateral",0.54149299447552,1.80605765954205,12,"Basal/Lateral: 1.806"
"CADPS2","Basal",0.723910966077549,"Lateral",0.409746726656679,1.76672788086506,13,"Basal/Lateral: 1.767"
"SFMBT2","Basal",1.01605189661608,"Lateral",0.585007426108924,1.73681880138544,14,"Basal/Lateral: 1.737"
"TIMP2","Basal",0.46625291066899,"Lateral",0.269246486603969,1.7316954310152,15,"Basal/Lateral: 1.732"
"NETO2","Basal",0.762999822111315,"Lateral",0.440746197755817,1.7311546327486,16,"Basal/Lateral: 1.731"
"TENM3","Basal",1.51762813417214,"Lateral",0.895903152230138,1.69396449872329,17,"Basal/Lateral: 1.694"
"GDA","Basal",0.666495521540619,"Lateral",0.394309886745604,1.69028356616029,18,"Basal/Lateral: 1.69"
"OPRM1","Basal",0.721855356487075,"Lateral",0.42878561942146,1.68348779387947,19,"Basal/Lateral: 1.683"
"SPOCK1","Basal",1.2560339379346,"Lateral",0.74620123059502,1.68323755903355,20,"Basal/Lateral: 1.683"
"ZNF804B","Basal",0.967962249175901,"Lateral",0.578252722632643,1.67394326267762,21,"Basal/Lateral: 1.674"
"MYO16","Basal",0.886021310431601,"Lateral",0.537819645479206,1.64743203019693,22,"Basal/Lateral: 1.647"
"PPARGC1A","Basal",1.8217536410917,"Lateral",1.11595403299826,1.63246297537646,23,"Basal/Lateral: 1.632"
"SULF2","Basal",0.586189763063979,"Lateral",0.359153987259458,1.6321404853025,24,"Basal/Lateral: 1.632"
"PALMD","Basal",0.673354655338948,"Lateral",0.413076556681039,1.63009651467315,25,"Basal/Lateral: 1.63"
"SUSD4","Basal",1.08417783876296,"Lateral",0.667024880124188,1.62539340145919,26,"Basal/Lateral: 1.625"
"NTM","Basal",2.78880236904646,"Lateral",1.72099660627917,1.62045779687846,27,"Basal/Lateral: 1.62"
"RASGRP1","Basal",0.485739689102325,"Lateral",0.299867374817674,1.61984840597503,28,"Basal/Lateral: 1.62"
"GSE1","Basal",0.648082612327214,"Lateral",0.405387848385106,1.59867301131226,29,"Basal/Lateral: 1.599"
"SORCS3","Basal",1.22865837701907,"Lateral",0.770808764560618,1.5939859969281,30,"Basal/Lateral: 1.594"
"TMTC1","Basal",1.33507783809586,"Lateral",0.838867634783787,1.5915238384897,31,"Basal/Lateral: 1.592"
"SH3BP4","Basal",0.49833828611925,"Lateral",0.313615981099846,1.58900794650702,32,"Basal/Lateral: 1.589"
"SIPA1L3","Basal",1.02513438271783,"Lateral",0.645486518668822,1.58815769666568,33,"Basal/Lateral: 1.588"
"PRUNE2","Basal",0.582415118198744,"Lateral",0.37193219993232,1.56591743953528,34,"Basal/Lateral: 1.566"
"SOX5","Basal",1.89048524644758,"Lateral",1.20788180901014,1.56512436262025,35,"Basal/Lateral: 1.565"
"EML1","Basal",0.792637500701369,"Lateral",0.508056029041524,1.56013796784722,36,"Basal/Lateral: 1.56"
"FUT9","Basal",0.58271277448071,"Lateral",0.375129576911525,1.55336398499483,37,"Basal/Lateral: 1.553"
"VSTM2B","Basal",0.558489682425702,"Lateral",0.362789270800351,1.53943274340395,38,"Basal/Lateral: 1.539"
"SEZ6L","Basal",1.35548196177762,"Lateral",0.882782345757029,1.5354656425704,39,"Basal/Lateral: 1.535"
"SORCS1","Basal",0.934650939378471,"Lateral",0.615349290448643,1.51889496564956,40,"Basal/Lateral: 1.519"
"ITGB8","Basal",0.523044945234471,"Lateral",0.348148853937175,1.50236009488303,41,"Basal/Lateral: 1.502"
"SLC12A3","Basal",0.526272619170731,"Lateral",0.3510293363581,1.4992268869342,42,"Basal/Lateral: 1.499"
"MEGF11","Basal",1.10986603342092,"Lateral",0.749657347047668,1.48049777380538,43,"Basal/Lateral: 1.48"
"FAM110B","Basal",0.695958706666799,"Lateral",0.47168489756914,1.47547379670935,44,"Basal/Lateral: 1.475"
"EFR3B","Basal",0.697450369122099,"Lateral",0.473940314581832,1.471599582613,45,"Basal/Lateral: 1.472"
"PEX5L","Basal",2.38573398828038,"Lateral",1.62151769386784,1.47129691973304,46,"Basal/Lateral: 1.471"
"SOGA1","Basal",0.513548994582091,"Lateral",0.350500054628663,1.46518948513766,47,"Basal/Lateral: 1.465"
"CACNB2","Basal",1.91275096177421,"Lateral",1.30624836275809,1.46430879173354,48,"Basal/Lateral: 1.464"
